Name,Description,Price,Scent_Family,Scent_Family_2,Intensity,Website_Link
Coach Open Road,A vibrant aromatic fougere with a fruity twist.,36,Aromatic Fougere,Fruity,3,https://tinyurl.com/24mzr6rk
Coach Blue,A refreshing aromatic fougere with watery elements.,40,Aromatic Fougere,Watery,3,https://tinyurl.com/5n8v6ty6
Coach Platinum,A sophisticated woody fragrance with ambery oriental notes.,40,Woody,Ambery,4,https://tinyurl.com/2j3hrbj2
Coach For Men,A classic woody scent with a citrus finish.,45,Woody,Citrus,4,https://tinyurl.com/5xkpus3t
Creed Millésime 1849 (2023),"A timeless mix of woody and citrus notes, offering a fresh and classic fragrance.",495,Woody,Citrus,4,https://tinyurl.com/mvuzvnx3
Creed Aventus Absolu 2023,"A bold blend of woody and citrus elements, creating a sophisticated scent.",378,Woody,Citrus,4,https://tinyurl.com/488hd9zh
Creed Viking Cologne,"An invigorating fusion of aromatic fougere and citrus, perfect for the modern explorer.",236,Aromatic Fougere,Citrus,3,https://tinyurl.com/5c77n4nt
Creed Zeste Mandarine,"A bright and zesty citrus fragrance, ideal for a sunny day.",360,Citrus,Citrus,2,https://tinyurl.com/5n796hyd
Creed Green Neroli,"A refreshing blend of aromatic fougere and citrus, exuding vitality.",360,Aromatic Fougere,Citrus,3,https://tinyurl.com/2wsuv6c7
Creed Citrus Bigarade,A vibrant citrus scent with a touch of elegance.,360,Citrus,Citrus,2,https://tinyurl.com/4e3nnxuk
Creed Aventus Cologne,"A powerful mix of leather and citrus, creating a dynamic fragrance.",365,Leather,Citrus,2,https://tinyurl.com/39ck6htk
Creed Viking,"A bold aromatic fougere with a spicy kick, perfect for adventurers.",365,Aromatic Fougere,Spicy,3,https://tinyurl.com/mvexnu5h
Creed White Amber,"An exquisite blend of ambery oriental and floral notes, radiating luxury.",610,Ambery,Floral,4,https://tinyurl.com/yfh5sv3p
Creed Pour Enfant,"A delightful mix of floral and fruity notes, gentle and fresh.",135,Floral,Fruity,3,https://tinyurl.com/3yv4wtap
Creed Royal Mayfair (Windsor),"A regal blend of woody and citrus notes, sophisticated and timeless.",455,Woody,Citrus,4,https://tinyurl.com/7ywrvwsk
Creed Vetiver Geranium,A unique combination of woody and citrus elements with a hint of geranium.,360,Woody,Citrus,4,https://tinyurl.com/mwfkwvm4
Creed White Flowers,"A pure floral fragrance, elegant and timeless.",610,Floral,Floral,4,https://tinyurl.com/2s3jy9bk
Creed Pure White Cologne (Original Cologne),A refreshing citrus scent with a classic touch.,610,Citrus,Citrus,2,https://tinyurl.com/2xfrzwsn
Creed Royal Oud,"A majestic woody fragrance with deep, rich notes.",570,Woody,Woody,5,https://tinyurl.com/49tpbttw
Creed Jardin d'Amalfi,A vibrant citrus scent reminiscent of Amalfi Coast's gardens.,610,Citrus,Citrus,2,https://tinyurl.com/mzjamb5v
Creed Sublime Vanille,A luxurious ambery oriental scent with a touch of vanilla.,610,Ambery,Ambery,5,https://tinyurl.com/2k2w49h7
Creed Spice and Wood,"A rich woody fragrance with a spicy undertone, perfect for a sophisticated presence.",610,Woody,Spicy,5,https://tinyurl.com/3bws7v43
Creed Aventus,"The most Iconic fragrance in the Creed family - dynamic blend of citrus and leather, creating a powerful scent.",365,Citrus,Leather,2,https://tinyurl.com/yysz3mw4
Creed Virgin Island Water,"A refreshing floral scent with tropical vibes, perfect for a getaway.",345,Floral,Floral,4,https://tinyurl.com/2a6vteap
Creed Original Santal,"A rich aromatic fougere with warm, comforting notes.",345,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/4d25s565
Creed Original Vetiver,"A fresh woody green scent, crisp and invigorating.",345,Woody,Green,4,https://tinyurl.com/vmrvnddm
Creed Himalaya,An adventurous woody fragrance with an ambery oriental twist.,345,Woody,Ambery,4,https://tinyurl.com/5n8c8z6h
Creed Tabarome Millésime,"A robust woody tobacco scent, deep and rich.",345,Woody,Tobacco,4,https://tinyurl.com/3phmv5au
Creed Royal Water,"A crisp aromatic fougere with a citrus touch, refreshing and clean.",345,Aromatic Fougere,Citrus,3,https://tinyurl.com/3utsrkny
Creed Millésime Impérial,"An elegant aromatic fougere with watery notes, luxurious and fresh.",345,Aromatic Fougere,Watery,3,https://tinyurl.com/bd257dxn
Creed Silver Mountain Water,A cool aromatic fougere with a hint of watery freshness.,345,Aromatic Fougere,Watery,3,https://tinyurl.com/2n5m43th
Creed Néroli Sauvage,"A bright citrus scent with a wild, untamed character.",470,Citrus,Citrus,2,https://tinyurl.com/mr3sb558
Creed Erolfa,"A classic aromatic fougere, clean and sophisticated.",345,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/2yjvfw9
Creed Bois du Portugal,"A rich woody fragrance with a hint of citrus, deep and timeless.",345,Woody,Citrus,4,https://tinyurl.com/wsntftvt
Creed Green Irish Tweed,"A classic aromatic fougere with green, fresh notes, timeless and elegant.",345,Aromatic Fougere,Green,3,https://tinyurl.com/yn2u7a3d
Cristiano Ronaldo CR7 Fearless,A bold ambery oriental fragrance with a citrus twist.,34,Ambery,Citrus,3,https://tinyurl.com/mjx4h2yb
Cristiano Ronaldo CR7 Origins,A fresh aromatic fougere with vibrant citrus notes.,33,Aromatic Fougere,Citrus,3,https://tinyurl.com/45wdvnkp
Cristiano Ronaldo CR7 Game On,A dynamic woody fragrance with a touch of citrus.,25,Woody,Citrus,3,https://tinyurl.com/yzm3c764
Cristiano Ronaldo CR7 Play It Cool,A cool aromatic fougere with refreshing watery elements.,24,Aromatic Fougere,Watery,3,https://tinyurl.com/mrythceu
Cristiano Ronaldo CR7 For Men,"A classic aromatic fougere, timeless and masculine.",26,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/4xdabw9k
Cristiano Ronaldo Legacy For Men,A sophisticated woody fragrance with citrus highlights.,118,Woody,Citrus,4,https://tinyurl.com/y45hf6kv
Davidoff Cool Water Reborn Eau De Parfum,"A fresh aromatic fougere with green notes, offering a vibrant scent.",35,Aromatic Fougere,Green,4,https://tinyurl.com/yc3npdyr
Davidoff Cool Water Reborn,A refreshing aromatic fougere with green undertones.,50,Aromatic Fougere,Green,3,https://tinyurl.com/yc4vmfhc
Davidoff Cool Water Odyssey Parfum,A bold woody fragrance with a citrus twist.,50,Woody,Citrus,5,https://tinyurl.com/msdcn3vk
Davidoff Cool Water Intense,An intense ambery oriental fragrance with citrus notes.,30,Ambery,Citrus,4,https://tinyurl.com/22suxkpk
Davidoff Run Wild For Him,"A cool aromatic fougere with watery elements, ideal for an adventurous spirit.",50,Aromatic Fougere,Watery,3,https://tinyurl.com/562288rx
Davidoff Wood Blend,A rich woody fragrance with ambery oriental highlights.,210,Woody,Ambery,4,https://tinyurl.com/msauwr5b
Davidoff Cool Water Wave Man,An invigorating aromatic fougere with citrus freshness.,25,Aromatic Fougere,Citrus,3,https://tinyurl.com/yc3tycxw
Davidoff Cool Water Pacific Summer Edition ,"A vibrant aromatic fougere with citrus notes, perfect for summer.",44,Aromatic Fougere,Citrus,3,https://tinyurl.com/35ydn2ya
Davidoff Horizon Extreme,A bold woody fragrance with ambery oriental depth.,150,Woody,Ambery,4,https://tinyurl.com/m2xanrhf
Davidoff Amber Blend,An exquisite ambery oriental fragrance with floral touches.,30,Ambery,Floral,4,https://tinyurl.com/mryacppb
Davidoff Horizon,"An aromatic fougere with spicy undertones, offering a dynamic scent.",78,Aromatic Fougere,Spicy,3,https://tinyurl.com/29nwakpm
Davidoff Agar Blend,A luxurious woody fragrance with rich ambery oriental notes.,194,Woody,Ambery,4,https://tinyurl.com/2a6w6vpk
Davidoff Leather Blend,A powerful leather fragrance with woody undertones.,200,Leather,Woody,4,https://tinyurl.com/mstw5ttj
Davidoff The Game,"A classic woody fragrance with citrus highlights, perfect for any occasion.",23,Woody,Citrus,4,https://tinyurl.com/24vffrh9
Davidoff Champion,"An invigorating chypre fragrance with citrus notes, ideal for the active man.",25,Chypre,Citrus,3,https://tinyurl.com/mkrp4cpu
Davidoff Hot Water,"A bold woody fragrance with ambery oriental depth, exuding warmth.",19,Woody,Ambery,4,https://tinyurl.com/4hc34kd2
Davidoff Adventure,"A dynamic aromatic fougere with spicy elements, perfect for the adventurous.",30,Aromatic Fougere,Spicy,3,https://tinyurl.com/49xm74rt
Davidoff Silver Shadow,"A rich woody fragrance with ambery oriental touches, offering a classic scent.",100,Woody,Ambery,4,https://tinyurl.com/3epdthws
Davidoff Cool Water,"A fresh aromatic fougere, timeless and invigorating.",30,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/a3uk834k
Davidoff Zino Davidoff,A luxurious woody fragrance with deep ambery oriental notes.,23,Woody,Ambery,3,https://tinyurl.com/3hucae7p
Dior New Look,An elegant ambery oriental fragrance with aldehydic notes.,150,Ambery,Aldehydic,4,https://tinyurl.com/57d6ejpp
Dior Bonne Étoile,A rich woody ambery composition with oriental depth.,230,Woody,Ambery,4,https://tinyurl.com/ykf48y79
Dior Sauvage Elixir Baccarat,"An aromatic fougere with a spicy twist,  embodying luxury.",8200,Aromatic Fougere,Spicy,5,https://tinyurl.com/p3ydkbwz
Dior Dioriviera,"A refreshing floral green scent, perfect for a lively atmosphere.",150,Floral,Green,3,https://tinyurl.com/5n7dp95p
Dior Élixir Précieux: Patchouli,A deep woody essence with the classic aroma of patchouli.,450,Woody,Woody,4,https://tinyurl.com/2j3decex
Dior Élixir Précieux: Jasmin,A delicate floral scent featuring the enchanting aroma of jasmine.,450,Floral,Floral,4,https://tinyurl.com/53auyaws
Dior Eau Noire 2022,A robust aromatic fougere with dark woody notes.,150,Aromatic Fougere,Woody,4,https://www.dior.com/en_us/beauty/products/eau-noire-C099700458.html
Dior Cologne Blanche 2022,Crisp and clean citrus notes offer a refreshing scent.,150,Citrus,Citrus,3,https://tinyurl.com/3b9j7z3s
Dior Dior Homme Sport 2022,A dynamic woody citrus fragrance for an active lifestyle.,105,Woody,Citrus,3,https://tinyurl.com/4xdt52wy
Dior Sauvage Elixir,A bold aromatic fougere with intense spicy undertones.,180,Aromatic Fougere,Spicy,5,https://tinyurl.com/3vwrd6ne
Dior Eden-Roc,A luxuriant floral ambery blend reminiscent of the Mediterranean.,150,Floral,Ambery,4,https://tinyurl.com/a6nta383
Dior Vanilla Diorama,A warm ambery oriental scent with gourmand vanilla.,330,Ambery,Gourmand,4,https://tinyurl.com/ye774s2p
Dior Tobacolor,An intriguing woody tobacco fragrance with a rich profile.,330,Woody,Tobacco,4,https://tinyurl.com/2zmampmd
Dior Oud Rosewood,A complex woody ambery scent with oriental layers.,330,Woody,Ambery,4,https://tinyurl.com/3z28mwp7
Dior Dior Homme Eau de Toilette,A sophisticated woody citrus blend for modern men.,120,Woody,Citrus,3,https://tinyurl.com/3vwjuscu
Dior Rouge Trafalgar,A vibrant floral fruity scent that captures the essence of fun.,330,Floral,Fruity,3,https://tinyurl.com/mprsz44u
Dior Spice Blend,A potent ambery oriental with spicy and floral nuances.,330,Ambery,Floral,4,https://tinyurl.com/3s8d32b3
Dior Sauvage Parfum,A rich aromatic fougere with a deep citrus character.,180,Aromatic Fougere,Citrus,4,https://tinyurl.com/3bvvwyep
Dior Holy Peony,A charming floral fruity fragrance with a soft appeal.,150,Floral,Fruity,3,https://tinyurl.com/2bedkv9b
Dior Thé Cachemire,An elegant citrus floral fragrance that's refreshingly modern.,330,Citrus,Floral,3,https://tinyurl.com/2x52j9wm
Dior Terra Bella,An aromatic fougere with watery notes inspired by nature.,150,Aromatic Fougere,Watery,3,https://tinyurl.com/5ddhwxxf
Dior Souffle De Soie,"A delicate chypre floral fragrance, light and ethereal.",440,Chypre,Floral,3,https://tinyurl.com/yn495rkf
Dior Sakura,A floral aldehydic fragrance with the fresh scent of cherry blossoms.,330,Floral,Aldehydic,3,https://tinyurl.com/4fdww9cr
Dior Rose Kabuki,"A bright floral fragrance with a modern, clean finish.",330,Floral,Floral,3,https://tinyurl.com/muzfx74v
Dior Rose Gipsy,A vibrant floral scent capturing the essence of wild gardens.,300,Floral,Floral,3,https://tinyurl.com/yc64hyb7
Dior Purple Oud,A woody ambery fragrance with deep oriental notes.,330,Woody,Ambery,4,https://tinyurl.com/2zefrsrx
Dior Lucky,A light floral fragrance that evokes freshness and purity.,150,Floral,Floral,3,https://tinyurl.com/4vws9e27
Dior Jasmin Des Anges,A floral celebration with the rich and intoxicating jasmine.,150,Floral,Floral,3,https://tinyurl.com/yxjae3cp
Dior Diorissima,A classic floral fragrance that embodies elegance and grace.,110,Floral,Floral,3,https://tinyurl.com/yc6mx3nm
Dior Balade Sauvage,A chypre green fragrance that brings a touch of the wild.,300,Chypre,Green,3,https://tinyurl.com/4vv2wcse
Dior Santal Noir,A deep woody scent that's both mysterious and compelling.,600,Woody,Woody,4,https://tinyurl.com/bdfx62r6
Dior Belle De Jour Dior,A floral fruity fragrance that's light and invigorating.,435,Floral,Fruity,3,https://tinyurl.com/yn4ja758
Dior Eau Sauvage Parfum 2017,A rich ambery citrus blend that's boldly refreshing.,120,Ambery,Citrus,4,https://tinyurl.com/2erfu92f
Dior Fahrenheit Cologne,A vibrant woody citrus fragrance for the modern man.,190,Woody,Citrus,3,https://tinyurl.com/237dywaf
Dior La Colle Noire,A floral masterpiece with a deep musk undertone.,330,Floral,Musk Skin,4,https://tinyurl.com/5n8h2sc7
Dior Sauvage Eau de Toilette,An iconic aromatic fougere with a clear citrus note.,120,Aromatic Fougere,Citrus,3,https://tinyurl.com/hvyybhcd
Dior Eau Sauvage Cologne,A refreshing citrus aroma perfect for everyday wear.,120,Citrus,Citrus,3,https://tinyurl.com/3k3548pm
Dior Fève Délicieuse,A rich ambery oriental with a sweet gourmand twist.,100,Ambery,Gourmand,4,https://tinyurl.com/2rkvhvaa
Dior Dior Homme Parfum,A luxurious leather ambery scent for an unmistakable presence.,194,Leather,Ambery,5,https://tinyurl.com/3anf4423
Dior Cuir Cannage,A bold leather floral fragrance that defies expectations.,350,Leather,Floral,4,https://tinyurl.com/3ujuvx7v
Dior Élixir Précieux: Rose,A delicate floral scent enriched with the essence of rose.,450,Floral,Floral,4,https://tinyurl.com/yb9tv4yf
Dior Élixir Précieux: Oud,A woody ambery fragrance that's rich and enduring.,450,Woody,Ambery,5,https://tinyurl.com/stkfhtpx
Dior Élixir Précieux: Musc,An aldehydic floral musk that's soft and enchanting.,450,Floral,Aldehydic,3,https://tinyurl.com/wnx29mv6
Dior Élixir Précieux: Ambre,A deep ambery floral that's both warm and inviting.,450,Ambery,Floral,4,https://tinyurl.com/5x7mme9s
Dior Fahrenheit Parfum,A luxurious woody leather scent with a robust finish.,121,Woody,Leather,4,https://tinyurl.com/h2kv2rd6
Dior Gris Dior,A chypre floral fragrance that's sophisticated and modern.,150,Chypre,Floral,3,https://tinyurl.com/2wszcsxb
Dior Dior Homme Cologne 2013,A light citrus musk fragrance perfect for casual days.,130,Citrus,Musk Skin,3,https://tinyurl.com/yckh5txa
Dior Oud Ispahan,An opulent woody ambery scent with oriental flair.,150,Woody,Ambery,5,https://tinyurl.com/3wvt9yut
Dior Grand Bal,A lavish floral fragrance that dances through the night.,450,Floral,Floral,4,https://tinyurl.com/3mpjv2xv
Dior Patchouli Impérial,A bold woody fragrance centered around earthy patchouli.,380,Woody,Woody,4,https://tinyurl.com/295p3ffr
Dior Dior Homme Original,A classic woody ambery scent with oriental nuances.,105,Woody,Ambery,4,https://tinyurl.com/2jsz7634
Dior Cologne Royale,A refreshing citrus blend ideal for warm weather.,274,Citrus,Citrus,3,https://tinyurl.com/yc3ddsbu
Dior Mitzah,A rich ambery oriental fragrance with floral notes.,435,Ambery,Floral,4,https://tinyurl.com/4ur9fxyb
Dior Leather Oud,A powerful leather woody combination with deep richness.,285,Leather,Woody,5,?https://tinyurl.com/h44bk9pz
Dior Eau Sauvage Extrême Intense,A bold citrus chypre blend for a lasting impression.,125,Citrus,Chypre,3,https://tinyurl.com/5e4abcx2
Dior Ambre Nuit,A sensual woody ambery fragrance with oriental charm.,150,Woody,Ambery,4,https://tinyurl.com/bdd2chtt
Dior Dior Homme Intense,An intense woody ambery scent with a strong presence.,125,Woody,Ambery,4,https://tinyurl.com/49b374ct
Dior Bois d'Argent,A smooth woody ambery fragrance with a luxurious feel.,330,Woody,Ambery,4,https://tinyurl.com/5999ubcn
Dior Higher Energy,A lively aromatic fougere with citrus highlights.,95,Aromatic Fougere,Citrus,3,https://tinyurl.com/zn2batz7
Dior Higher,"An aromatic fougere with woody undertones,  ideal for dynamic spirits.",130,Aromatic Fougere,Woody,3,https://tinyurl.com/mryve8dv
Dior Dune Pour Homme,A fresh woody green scent that evokes the outdoors.,108,Woody,Green,3,https://tinyurl.com/4yf4kvrj
Dior Fahrenheit,A robust woody leather fragrance known for its bold profile.,92,Woody,Leather,5,https://tinyurl.com/bd4sf4x5
Dior Jules,A rustic woody aromatic fougere with a classic vibe.,125,Woody,Aromatic Fougere,4,https://tinyurl.com/bxh6bbex
Dior Eau Sauvage Eau de Toilette,"The quintessential citrus aromatic fougere,  refreshing and timeless.",120,Citrus,Aromatic Fougere,3,https://tinyurl.com/s768knwt
DKNY For Men EDT,A vibrant aromatic fougere that balances crisp citrus with deep wood tones.,45,Aromatic Fougere,Citrus,3,https://tinyurl.com/343wm6ec
Dolce & Gabbana K by Dolce & Gabbana Eau de Parfum,A fresh and invigorating scent with citrus and woody notes.,50,Leather,Citrus,4,https://tinyurl.com/yc4tepre
Dolce & Gabbana DGVIB3,A unique aromatic fougere with a blend of fresh notes.,160,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/yx7vybpf
Dolce & Gabbana Velvet Blue Musk,A deep woody fragrance with hints of musk.,310,Woody,Woody,4,https://tinyurl.com/bdev9a4f
Dolce & Gabbana The One for Men Gold,A rich and luxurious scent with ambery and woody undertones.,121,Woody,Ambery,4,https://tinyurl.com/mr442swy
Dolce & Gabbana Velvet Black Patchouli,A dark and intense fragrance with ambery and woody notes.,310,Woody,Ambery,4,https://tinyurl.com/2tzea4bt
Dolce & Gabbana K by Dolce & Gabbana Eau de Toilette,A refreshing aromatic fougere with a blend of citrus and woody notes.,114,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/53ek8rsv
Dolce & Gabbana Velvet Mughetto,A delicate floral fragrance with green undertones.,310,Floral,Green,3,https://tinyurl.com/3j72sm69
Dolce & Gabbana The One for Men Intense,An intense and bold scent with ambery and woody notes.,86,Woody,Ambery,4,https://tinyurl.com/y7m3dszj
Dolce & Gabbana Pineapple,A vibrant citrus fragrance with fruity notes.,90,Citrus,Fruity,3,https://tinyurl.com/22y8psu3
Dolce & Gabbana Orange,A zesty and fresh citrus fragrance.,90,Citrus,Citrus,3,https://tinyurl.com/4wzxtmkk
Dolce & Gabbana Lemon,A bright and tangy citrus scent.,90,Citrus,Citrus,3,https://tinyurl.com/t2935dm8
Dolce & Gabbana Velvet Oriental Musk,A warm and spicy fragrance with ambery notes.,140,Woody,Ambery,4,https://tinyurl.com/27dhe52v
Dolce & Gabbana Velvet Sicily,A floral fragrance with a musk skin undertone.,280,Floral,Musk Skin,3,https://tinyurl.com/47rj8zze
Dolce & Gabbana The One for Men Grey,A sophisticated and modern scent with woody and ambery notes.,65,Woody,Ambery,4,https://tinyurl.com/mu4t7rkn
Dolce & Gabbana Velvet Incenso,A rich and smoky fragrance with ambery undertones.,130,Woody,Ambery,4,https://tinyurl.com/bdfctmsb
Dolce & Gabbana Velvet Amber Sun,A warm and sunny fragrance with ambery and floral notes.,280,Ambery,Floral,4,https://tinyurl.com/yckew5eh
Dolce & Gabbana Velvet Amber Skin,An exotic and sensual fragrance with ambery and floral notes.,280,Ambery,Floral,4,https://tinyurl.com/4ztztnka
Dolce & Gabbana Light Blue Eau Intense Pour Homme,A fresh and intense citrus fragrance.,56,Woody,Citrus,4,https://tinyurl.com/4t3sxwes
Dolce & Gabbana Velvet Cypress,A woody fragrance with green notes.,95,Woody,Green,3,https://tinyurl.com/mpd9t759
Dolce & Gabbana Velvet Pure,A pure and fresh floral fragrance with green notes.,168,Floral,Green,3,https://tinyurl.com/5y3sbh27
Dolce & Gabbana Velvet Ginestra,A floral fragrance with a hint of citrus.,151,Floral,Citrus,3,https://tinyurl.com/yrwu2vty
Dolce & Gabbana The One for Men Eau de Parfum,A rich and intense fragrance with woody and ambery notes.,70,Woody,Ambery,4,https://tinyurl.com/pc5m5m7p
Dolce & Gabbana The One Royal Night,A luxurious fragrance with woody and ambery notes.,40,Woody,Ambery,4,https://tinyurl.com/zbdrsdpr
Dolce & Gabbana Velvet Mimosa Bloom,A delicate floral fragrance.,163,Floral,Floral,3,https://tinyurl.com/4dxamtd9
Dolce & Gabbana Velvet Exotic Leather,A rich and exotic fragrance with ambery notes.,218,Woody,Ambery,4,https://tinyurl.com/2h8xzz7w
Dolce & Gabbana Dolce & Gabbana Pour Homme Intenso,"A deep and luxurious fragrance with rich notes of basil, lavender, and tobacco, conveying a sophisticated and assertive presence.",40,Aromatic Fougere,Ambery,4,https://tinyurl.com/4ut6nbu8
Dolce & Gabbana Velvet Rose,A luxurious floral fragrance.,280,Floral,Floral,3,https://tinyurl.com/4jwmwycf
Dolce & Gabbana Velvet Bergamot,A fresh citrus fragrance with a hint of chypre.,280,Citrus,Chypre,3,https://tinyurl.com/3j8r3mu8
Dolce & Gabbana Velvet Tender Oud,An intense and warm fragrance with floral notes.,310,Floral,Floral,3,https://tinyurl.com/hjakx5hd
Dolce & Gabbana Velvet Desert Oud,A woody fragrance with a hint of oud.,310,Woody,Woody,4,https://tinyurl.com/y8n5ye5y
Dolce & Gabbana Velvet Wood,A deep and woody fragrance.,185,Woody,Woody,4,https://tinyurl.com/39s3ptkn
Dolce & Gabbana Velvet Vetiver,A fresh and woody fragrance with green notes.,280,Woody,Green,3,https://tinyurl.com/8sb96azs
Dolce & Gabbana Velvet Sublime,A bright floral fragrance with citrus notes.,125,Floral,Citrus,3,https://tinyurl.com/hb2cfh74
Dolce & Gabbana Velvet Patchouli,A rich and woody patchouli fragrance.,140,Woody,Woody,4,https://tinyurl.com/yc3hewpe
Dolce & Gabbana Velvet Love,An intense floral fragrance with ambery notes.,160,Ambery,Floral,4,https://tinyurl.com/ycy3dka3
Dolce & Gabbana Velvet Desire,A delicate and romantic floral fragrance.,280,Floral,Floral,3,https://tinyurl.com/3ujfmj4h
Dolce & Gabbana L'Imperatrice,A fruity floral fragrance.,95,Floral,Fruity,3,https://tinyurl.com/2xxpk77p
Dolce & Gabbana The One for Men Eau de Toilette,A classic woody fragrance with a hint of tobacco.,43,Woody,Tobacco,3,https://tinyurl.com/m6jd3xee
Dolce & Gabbana Light Blue Pour Homme,A fresh and watery aromatic fougere.,35,Aromatic Fougere,Watery,3,https://tinyurl.com/yxcfwjvw
Dolce & Gabbana Pour Homme,"A classic and refined fragrance featuring notes of citrus, lavender, and tobacco, embodying traditional masculine elegance.",40,Aromatic Fougere,Aromatic Fougere,3,https://tinyurl.com/yyf6amhv
Dolce & Gabbana Light Blue Summer Vibes," A refreshing and vibrant scent, capturing the essence of summer with notes of citrus and ocean breezes.",55,Woody,Citrus,3,https://tinyurl.com/44b5rwnu
Dolce & Gabbana Light Blue Italian Love,"A romantic and vibrant fragrance, blending crisp apple and lemon with a heart of jasmine and rose, evoking the passion of an Italian summer.",54,Woody,Citrus,3,https://tinyurl.com/ykf8rn6c
Dolce & Gabbana Light Blue Forever Pour Homme,"A vibrant and fresh fragrance with grapefruit and bergamot, capturing the endless allure of the Mediterranean sea.",70,Woody,Citrus,3,https://tinyurl.com/5yretdvw
Dolce & Gabbana The One Luminous Night," A rich and exotic scent, featuring notes of dates, amber, and sandalwood, inspired by the mystique of the Middle East.",85,Ambery,Citrus,4,https://tinyurl.com/yjzs2xtw
Dolce & Gabbana Light Blue Love is Love Pour Homme,"A playful twist on the classic with added notes of apple gelato and mandarin, enhancing the original citrus signature.",35,Woody,Citrus,3,https://tinyurl.com/463m3uc4
Dolce & Gabbana Light Blue Sun Pour Homme 2019,"A warm and addictive aroma blending bergamot, coconut water, and cedarwood, evoking the sun-drenched vibe of summer.",99,Aromatic Fougere,Watery,3,https://tinyurl.com/2edf2fyx
Dolce & Gabbana The One Mysterious Night,"A deeper and more intense version of The One, with saffron, rose, and agarwood, offering a seductive evening wear option.",91,Woody,Ambery,4,https://tinyurl.com/yk8xc3xh
Dolce & Gabbana Light Blue Italian Zest," A bright and energizing edition, bursting with lemon and granny smith apple, celebrating the joy and freshness of the Italian summer.",65,Aromatic Fougere,Citrus,3,https://tinyurl.com/5cm32t6r
D.S. & Durga Wear at Maximum Volume,An energetic blend of chypre and floral notes.,210,Chypre,Floral,4,https://tinyurl.com/ux3zdmx4
D.S. & Durga Black Magenta,An intense woody ambery fragrance with oriental hints.,210,Woody,Ambery,4,https://tinyurl.com/dm4yk86
D.S. & Durga Peanut 2024,A unique woody gourmand scent with nutty undertones.,250,Woody,Gourmand,4,https://tinyurl.com/bdhra37j
D.S. & Durga Roman Ruin Cypress 2023,A blend of woody and floral notes inspired by ancient ruins.,400,Woody,Floral,4,https://tinyurl.com/2vtzeyxv
D.S. & Durga Big Sur Eucalyptus 2023,A refreshing woody scent with watery elements.,210,Woody,Watery,4,https://tinyurl.com/yckyjhfz
D.S. & Durga Lilac City,A pure floral fragrance celebrating lilac blooms.,280,Floral,Floral,4,https://tinyurl.com/xj4weh5h
D.S. & Durga Salem Gothic 2023,A dramatic chypre floral scent with a gothic twist.,250,Chypre,Floral,4,https://tinyurl.com/3aj862fx
D.S. & Durga Deep Dark Vanilla,An opulent woody ambery fragrance enriched with vanilla.,210,Woody,Ambery,4,https://tinyurl.com/ywdb6ax6
D.S. & Durga Crush Balls 2023,A vibrant aromatic fougere with green notes.,280,Aromatic Fougere,Green,4,https://tinyurl.com/4rnpaff8
D.S. & Durga Mahogany Kora 2023,A deep woody fragrance with oriental nuances.,280,Woody,Ambery,4,https://tinyurl.com/yc6ujrzp
D.S. & Durga The Carlyle,A crisp citrus scent with green undertones.,250,Citrus,Green,3,https://tinyurl.com/469vdt4v
D.S. & Durga Plumes,A light and airy floral fragrance.,290,Floral,Floral,3,https://tinyurl.com/m6nyas8e
D.S. & Durga Steamed Rainbow,A refreshing woody citrus blend.,210,Woody,Citrus,4,https://tinyurl.com/59zhayj
D.S. & Durga Royal Kinam Oud,An opulent woody ambery fragrance with oriental oud.,700,Woody,Ambery,4,https://tinyurl.com/bxxkudfc
D.S. & Durga Young Dunes x Todd Snyder,A unique aromatic fougere with woody elements.,210,Aromatic Fougere,Woody,4,https://tinyurl.com/44ftfmnx
D.S. & Durga Leatherize,An intense leather fragrance with oriental ambery notes.,210,Leather,Ambery,4,https://tinyurl.com/3w7r83xk
D.S. & Durga Bistro Waters,A fresh chypre scent with green nuances.,210,Chypre,Green,4,https://tinyurl.com/3ukpc9tm
D.S. & Durga Pistachio 2022,An unusual ambery oriental fragrance with citrus notes.,210,Ambery,Citrus,4,https://tinyurl.com/58dvtxye
D.S. & Durga Grapefruit Generation,A zesty citrus fragrance.,210,Citrus,Citrus,3,https://tinyurl.com/39fadbhh
D.S. & Durga Sweet Do Nothing 2021,A delicate floral fragrance.,210,Floral,Floral,3,https://tinyurl.com/w2ux3shf
D.S. & Durga St. Vetyver,A sophisticated woody citrus scent.,210,Woody,Citrus,4,https://tinyurl.com/kxec658a
D.S. & Durga Crystal Pistil,A fresh floral citrus blend.,95,Floral,Citrus,3,https://tinyurl.com/2z35s5ne
D.S. & Durga Jazmín Yucatan,A rich floral fragrance.,210,Floral,Floral,3,https://tinyurl.com/2s4k4e94
D.S. & Durga Notorious Oud,An exotic woody ambery fragrance with oriental oud.,210,Woody,Ambery,4,https://tinyurl.com/y88pb6vd
